city,airport,code,country
Moscow,Sân bay Domodedovo,DME,Nga
Cheju,Sân bay Quốc tế Jeju,CJU,Hàn Quốc
New York,Sân bay LaGuardia,LGA,Hoa Kỳ
Philadelphia,Sân bay Quốc tế Philadelphia,PHL,Hoa Kỳ
Dublin,Sân bay Dublin,DUB,Ireland
Zurich,Sân bay Zürich,ZRH,Thụy Sĩ
Copenhagen,Sân bay Copenhagen,CPH,Đan Mạch
Osaka,Sân bay Quốc tế Kansai,KIX,Nhật Bản
Palma de Mallorca,Sân bay Palma De Mallorca,PMI,Tây Ban Nha
Manchester,Sân bay Manchester,MAN,Vương Quốc Anh
Oslo,Sân bay Oslo, Gardermoen,OSL,Na Uy
Lisbon,Sân bay Portela Lisbon,LIS,Bồ Đào Nha
Stockholm,Sân bay Stockholm Arlanda,ARN,Thụy Điển
Baltimore,Sân bay Quốc tế Thurgood Marshall Washington,BWI,Hoa Kỳ
Antalya,Sân bay Antalya,AYT,Thổ Nhĩ Kỳ
London,Sân bay Stansted,STN,Vương Quốc Anh
Nanjing,Sân bay Quốc tế Lộc Khẩu Nam Kinh,NKG,Trung Quốc
Seoul,Sân bay Gimpo,GMP,Hàn Quốc
Bangalore,Sân bay Quốc tế Kempegowda,BLR,Ấn Độ
Riyadh,Sân bay Quốc tế King Khaled,RUH,Ả Rập Xê Út
Brussels,Sân bay Quốc tế Brussels,BRU,Bỉ
Duesseldorf,Sân bay Quốc tế Düsseldorf,DUS,Đức
Xiamen,Sân bay Quốc tế Cao Khởi Hạ Môn,XMN,Trung Quốc
Vienna,Sân bay Quốc tế Vienna,VIE,Áo
Zhengzhou,Sân bay Quốc tế Tân Trịnh Trịnh Châu,CGO,Trung Quốc
Salt Lake City,Sân bay Quốc tế Salt Lake City,SLC,Hoa Kỳ
Vancouver,Sân bay Quốc tế Vancouver,YVR,Canada
Washington,Sân bay Quốc gia Ronald Reagan,DCA,Hoa Kỳ
Changcha,Sân bay Quốc tế Hoàng Hoa Trường Sa,CSX,Trung Quốc
Abu Dhabi,Sân bay Quốc tế Abu Dhabi,AUH,Các Tiểu vương quốc Ả Rập Thống nhất
Cancun,Sân bay Quốc tế Cancún,CUN,Mexico
Fukuoka,Sân bay Fukuoka,FUK,Nhật Bản
Qingdao,Sân bay Quốc tế Lưu Đình Thanh Đảo,TAO,Trung Quốc
Brisbane,Sân bay Quốc tế Brisbane,BNE,Úc
Wuhan,Sân bay Quốc tế Thiên Hà Vũ Hán,WUH,Trung Quốc

